'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2017-06-01','01:40','Laisvës  pr. Justiniðkiø','Policija','Autoávikis.','','Alvydas Biliûnas','5.2 Vieta po autoávykio sutvarkyta.','','2017-06-01','01:20'
2,'2017-06-01','01:45','Ozo St.Ðiltnamiø','BPC','Padanga vaþ. dalyje.','','Alvydas Biliûnas','10.1 Padanga sunkveþimio  paimta ir iðveþta.. (1vnt)','','2017-06-01','02:05'
3,'2017-06-01','01:50','Erfurto 41','BPC','Duþenos stiklo vaþ. dalyje.','','Alvydas Biliûnas','Surinktos, iðveþtos vieta iðvalyta.','','2017-06-01','02:30'
4,'2017-06-01','02:25','Riovoniø Savanoriø','Pastebëta vaþiuojant.','Duþenos.','','Alvydas Biliûnas','Duþenos surinktos, iðveþtos.','','2017-06-01','02:32'
5,'2017-06-01','02:35','Savanoriø 151','Vaþiuojant pastebëta.','Vaþiuojamoje dalyje lenta.','','Alvydas Biliûnas','10.1 Lenta paimta ir iðveþta. .','','2017-06-01','02:38'
6,'2017-06-01','07:15','Architektø 80','BPC','Pilnas kanalizacijos ðulinys.','Vandentiekio avarinë tel.1889','Alvydas Biliûnas','12.1 Informacija perduota.','','2017-06-01','07:20'
7,'2017-06-01','07:35','Paðilaièiø 7','Vaiðnoras','Ðaligatvyje negyvas katinas.','','Alvydas Biliûnas','Praneðëjas atskambino , kad katina pasiima patys ðeimininkai.','','2017-06-01','07:45'
8,'2017-06-01','09:00','Tuskulënø 50-28','Slepèenkienë','Suduþo termometras','','Alvydas Biliûnas','1.1 Paimtas 1 (vienas) buitinis termometras su gyvsidabriu ir perduotas utilizavimui;','','2017-06-01','12:20'
9,'2017-06-01','09:20','Studentø 39','V. Suveizdis','Á Nerá ið iðleidëjo  prie Þvërino tilto teka putos.','','Alvydas Biliûnas','9.1 Pastatyti bonai.','SORB  BOM20-500 (5 VNT)','2017-06-01','11:40'
10,'2017-06-01','09:30','Rasø 40','El. paðtas O. Lapinskienë','Vaþiuojamoje dalyje prasëdæs ðulinys.','El. paðtas O. Lapinskienë','Alvydas Biliûnas','12.4 Avarinio ðulinio vaþiuojamoje dalyje nerasta.','','2017-06-01','12:55'
11,'2017-06-01','09:30','Guriø 143','El. paðtas O. Lapinskienë','Vaþiuojamoje dalyje duobë.','El. paðtas O. Lapinskienë.','Alvydas Biliûnas','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2017-06-01','13:05'
12,'2017-06-01','09:30','Pupinës 8','El. paðtas O. Lapinskienë','Ágriuva prie FK ðulinio ðaligatvyje.','El. paðtas O. Lapinswkienë. Vandentiekio avarinë.','Alvydas Biliûnas','4.1 Duobë-ágriuva laikinai uþpilta skaldos/smëlio miðiniu (0,1 m³) (nurodomi preliminarûs duobës iðmatavimai);','Dolomito atsijø ir skaldos miðinys fr 0-45mm (.1 M3)','2017-06-01','21:25'
