'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2017-11-26','04:50','Gedimino pr.','','Gatvës atidarymas','','Konstantin Skaiva','Eismas atidarytas','','2017-11-26','05:12'
2,'2017-11-26','06:01','Raugyklos','VPK','Ið po þemës teka ðvarus vanduo','VV 861611256','Konstantin Skaiva','12.1 Informacija perduota','','',''
3,'2017-11-26','07:04','Liepkalnio','','Neveikia ðviesoforas.','CEV 868662273','Konstantin Skaiva','12.1 Informacija perduota.','','',''
4,'2017-11-26','07:05','Gariûnø','WAZE','Avarinë duobë vaþ dalyje','','Konstantin Skaiva','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2017-11-26','10:44'
5,'2017-11-26','07:06','Paneriø','WAZE','Avarinë duobë vaþ dalyje','','Konstantin Skaiva','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2017-11-26','12:02'
6,'2017-11-26','07:07','Þolyno St. ,,Tvereèiaus"','WAZE','Avarinë duobë vaþ dalyje','','Konstantin Skaiva','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2017-11-26','11:45'
7,'2017-11-26','07:08','Antakalnio St. ,,Sapiegos"','WAZE','Avarinë duobë vaþ dalyje','','Konstantin Skaiva','4.5 Nurodytu adresu avariniø duobiø nepastebëta. Vyksta remonto darbai.','','2017-11-26','11:39'
8,'2017-11-26','07:09','Balþio þiedas','WAZE','Avarinë duobë vaþ dalyje','','Konstantin Skaiva','4.5 Nurodytu adresu avariniø duobiø nepastebëta. Duobë jau buvo uþtaisyta frezuotu asfaltu','','2017-11-26','11:15'
9,'2017-11-26','07:10','Þadeikos St. ,,Kaimelio þiedas"','WAZE','Avarinë duobë vaþ dalyje','','Konstantin Skaiva','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2017-11-26','11:01'
10,'2017-11-26','07:11','Laisvës  pr. Prie centrinës poliklinikos','WAZE','Avarinë duobë vaþ dalyje','','Konstantin Skaiva','4.5 Nurodytu adresu avariniø duobiø nepastebëta. Duobë jau buvo uþtaisyta frezuotu asfaltu.','','2017-11-26','10:57'
11,'2017-11-26','07:12','Architektø St. ,,Vaivorykðtës"','WAZE','Avarinë duobë vaþ dalyje','','Konstantin Skaiva','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2017-11-26','10:48'
12,'2017-11-26','07:13','Ðirvintø 66','Áraðas 2017.11.22','Laikinøjø þenklø patikrinimas','','Konstantin Skaiva','12.2 Laikinøjø þenklø patikrinimas. Darbai atlikti.','','2017-11-26','13:10'
13,'2017-11-26','07:14','Þemaitës 1','Áraðas 2017.11.18','Laikinøjø þenklø patikrinimas','','Konstantin Skaiva','12.2 Laikinøjø þenklø patikrinimas. Darbai atlikti.','','2017-11-26','14:10'
14,'2017-11-26','07:15','Ukmergës 240','Áraðas 2017.11.14','Laikinøjø þenklø patikrinimas','','Konstantin Skaiva','12.2 Laikinøjø þenklø patikrinimas. Darbai atlikti.','','2017-11-26','16:41'
15,'2017-11-26','07:16','Naruèio 5','Áraðas 2017.11.22','Laikinøjø þenklø patikrinimas','olga.lapinskiene@vilnius.lt','Konstantin Skaiva','12.2 Laikinøjø þenklø patikrinimas. Darbai neatlikti. Pakartotinai perduota.','','',''
16,'2017-11-26','07:17','Tuskulënø 40','Áraðas 2017.11.14','Laikinøjø þenklø patikrinimas.','VV 861611256','Konstantin Skaiva','12.2 Laikinøjø þenklø patikrinimas. Darbai neatlikti. Pakartotinai perduota.','','',''
17,'2017-11-26','07:18','Galvydþio 11A','Áraðas 2017.09.15','Laikinøjø þenklø patikrinimas','danguole.baltrusaitiene@vilnius.lt','Konstantin Skaiva','12.2 Laikinøjø þenklø patikrinimas','','',''
18,'2017-11-26','07:19','Vismaliukø 24','Áraðas 2017.07.13','Laikinøjø þenklø patikrinimas','danguole.baltrusaitiene@vilnius.lt','Konstantin Skaiva','12.2 Laikinøjø þenklø patikrinimas. Darbai neatlikti. Pakartotinai perduota.','','',''
19,'2017-11-26','08:47','Pergalës 12','','Pilnas FN ðulinys prie namo','VV 861611256','Konstantin Skaiva','12.1 Informacija perduota.','','',''
20,'2017-11-26','09:51','Sierakausko 24','VPK','Autoávykis','','Konstantin Skaiva','5.3 Nurodytu adresu duþenø nepastebëta.','','2017-11-26','10:13'
21,'2017-11-26','10:14','Gedimino pr.','','Suoliukø ir gëliniø patikrinimas','','Konstantin Skaiva','Vienas suoliukas buvo nustumtas. Pastatytas á vietà.','','2017-11-26','10:24'
22,'2017-11-26','10:15','Gerosios vilties 32A','Policijos ekipaþas','Kliûtis vaþ dalyje','','Konstantin Skaiva','Plastmasinis posparnis paimtas ir iðveþtas.','','2017-11-26','10:39'
23,'2017-11-26','15:18','Kudirkos V. Prie Vokieèiø ambasados','VPK','Autoávykis','','Konstantin Skaiva','5.2 Vieta po autoávykio sutvarkyta.','','2017-11-26','15:48'
24,'2017-11-26','15:18','Gedimino pr.','','Apversta gëlinë prie vaþ dalies','','Konstantin Skaiva','Gëlinë pastatyta á vietà, þemë surinkta.','','2017-11-26','15:48'
25,'2017-11-26','16:45','Þirmûnø 40','','Pilnas FN ðulinys prie namo','VV 861611256','Konstantin Skaiva','12.1 Informacija perduota','','',''
