'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2018-07-09','03:45','Gedimino pr.','budintis operatorius','Transporto eismo per prospektà atidarymas.','','Aleksandr Þuromskij','Transporto eimas per prospektà atidarytas.','','2018-07-09','04:05'
2,'2018-07-09','07:55','Baltruðaièio 3','sigitas.sakalys@vilnius.lt','Vaþ. dalyje sukritæs ðulinys.','LN tarnyba, R.Zaborovskis, 865021570','Aleksandr Þuromskij','12.1 Informacija perduota (LN ðulinys, pastatyta vertikali gairë.','','2018-07-09','08:45'
3,'2018-07-09','08:20','Padvarës g. 65','budintis operatorius','Laikinai pastatytø kelio þenklø patikrinimas (þiûrëti ataskaitoje 2018.06.04)','','Aleksandr Þuromskij','12.1 Informacija perduota (remonto darbai atlikti, þenklas paimtas)','','2018-07-09','09:20'
4,'2018-07-09','08:40','Þolyno 45A','privatus','Ávaþiuojant á vaikø darþelá formuojasi ágriuva.','dispecerine@vv.lt','Aleksandr Þuromskij','12.1 Informacija perduota (ágriuva ant ðaligatvio prie FN ðulinio, pastatyta signalinë tvorelë).','','2018-07-09',''
5,'2018-07-09','08:50','Santariðkiø 1','budintis operatorius','Laikinai pastatytø kelio þenklø patikrinimas (þiûrëti ataskaitoje 2018.05.22)','','Aleksandr Þuromskij','12.1 Informacija perduota (remonto darbai atlikti, signalinë tvorelë paimta)','','2018-07-09','09:40'
6,'2018-07-09','09:20','Þolyno 47','budintis operatorius','Laikinai pastatytø kelio þenklø patikrinimas (þiûrëti ataskaitoje 2018.05.04)','','Aleksandr Þuromskij','12.1 Informacija perduota (remonto darbai neatlikti, vertikali gairë palikta).','','2018-07-09',''
7,'2018-07-09','09:25','Naugarduko 41, vaþiuojant link ','sigitas.sakalys@vilnius','Vaþ. dalyje formuojasi smegduobë.','dispecerine@vv.lt','Aleksandr Þuromskij','12.1 Informacija perduota (smegduobë virð VV tinklø trasos). Pastatytos dvi vertikalios gairës.','','2018-07-09',''
8,'2018-07-09','10:00','Geleþinio vilko uþ ,,Saltoniðkiø" autob. sust.','sigitas.sakalys@vilnius.lt','Ant ðaligatvio ðalia ðulinio formuojasi ágriuva.','LN tarnyba, R.Zaborovskis, 865021570','Aleksandr Þuromskij','12.1 Informacija perduota (ágriuva prie LN ðulinio, pastatyta signalinë tvorelë)','','2018-07-09','11:55'
9,'2018-07-09','12:00','Verkiø 42','privatus','Vaþ. dalyje prie ðulinio lentos gabalas.','','Aleksandr Þuromskij','10.1 Paimta ir iðveþta. ','','2018-07-09','12:25'
10,'2018-07-09','12:25','Utenos 36A','budintis operatorius','Laikinai pastatytø kelio þenklø patikrinimas (þiûrëti ataskaitoje 2018.06.27).','','Aleksandr Þuromskij','12.1 Informacija perduota (remonto darbai atlikti, vertikali gairë paimta).','','2018-07-09','13:55'
11,'2018-07-09','12:35','Stanevièiaus S. 2','privatus','Ant ávaþiavimo susiformavo trys duobës.','aurimas.kalasauskas@yit.lt','Aleksandr Þuromskij','4.3 Duobës laikinai uþpiltos frezuotu asfaltu (0,2 m³). Informacija perduota.','Alsfalbetinis frezuotas (.2 M3)','2018-07-09','13:00'
12,'2018-07-09','13:25','Sierakausko 34','privatus','Kieme po gaisro pavojingas medis.','UAB ,,Stebulë" - 852776946','Aleksandr Þuromskij','12.1 Informacija perduota ','','2018-07-09','13:27'
