'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2017-01-24','07:20','Oslo','BPC','Kylant á kalna Gariûnø Nuverstas ir sulauþytas laikinas kelio þenklas.','','Alvydas Biliûnas','Pakeistas nauju (gairë) vaþiuojamos dalies 1-moje juostoje.','','2017-01-24','08:11'
2,'2017-01-24','08:00','Minsko pl.','BPC','Vaþiuojamoje dalyje uþ PC Maxima'''' duobës.','','Alvydas Biliûnas','Uþpilta saldos smëlio miðiniu (0,5m3)','','2017-01-24','08:42'
3,'2017-01-24','09:55','Þemaitës 16','','Patikrinta: darbai nealikti.','','Alvydas Biliûnas','Laikinas þenklas paliktas vietoje.','','2017-01-24','10:00'
4,'2017-01-24','10:00','Þemaitës sankr.','vaþiuojant pastebëta','Plasmasës gabalai vaþ. dalyje.','','Alvydas Biliûnas','Surinkti, iðveþti.','','2017-01-24','10:08'
5,'2017-01-24','10:18','Trakø 7','','Patikrinta: darbai atlikti.','','Alvydas Biliûnas','Laikini þernklai paimti, iðveþti.','','2017-01-24','10:22'
6,'2017-01-24','10:23','Vilniaus 30','vaþiuojant pastebëta','Ratlankio gaubtas','','Alvydas Biliûnas','paimtas, iðveþtas.','','2017-01-24','10:25'
7,'2017-01-24','10:30','Kalinausko K. 24','pastebëta vaþiuojant.','Prieðais statybvietæ nuverstas laikinas kelio þenklas.','','Alvydas Biliûnas','Atstatytas á vieta.','','2017-01-24','10:33'
8,'2017-01-24','10:45','Ozo','vaþiuojant pastebëta','Vaþiuojant link Akropolio tepalas iðsiliejàs.','','Alvydas Biliûnas','Tepalas neutralizuotas sunaudota (3kg) sauso sorbento.','','2017-01-24','10:55'
9,'2017-01-24','10:50','Ateities sankr.','BPC','Duþenos vaþ. dalyje.','','Alvydas Biliûnas','Duþenos surinktos, iðveþtos.','','2017-01-24','11:10'
10,'2017-01-24','10:55','Ozo 25','','Patikrinta:','','Alvydas Biliûnas','Darbai atlikti laikinas þenklas paimtas, iðveþtas.','','2017-01-24','10:58'
11,'2017-01-24','11:02','Gelvonø 39','vaþiuojant pastebëta.','Padanga.','','Alvydas Biliûnas','Paimta, iðveþta (1vnt)','','2017-01-24','11:05'
12,'2017-01-24','11:22','Visoriø 27','pastebëta vaþiuojant','Plytø duþenos vaþ. dalyje.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-01-24','11:30'
13,'2017-01-24','11:30','Didlaukio 64','','Patikrinta:','','Alvydas Biliûnas','Darbai atlikti laikini þenklai paimti, iðveþti.','','2017-01-24','11:35'
14,'2017-01-24','11:45','Didlaukio 40','vaþiuojant pastebëta','Gipso kartono gabalai vaþ. dalyje.','','Alvydas Biliûnas','Surinkti, iðveþti.','','2017-01-24','11:50'
15,'2017-01-24','11:52','Kalvarijø sankr.','vaþiuojant pastebëta','Stiklo duþenos vaþ. dalyje.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-01-24','11:58'
16,'2017-01-24','12:05','Nemenèinës pl. 2','Policija','Autoávikis','El.paðtas E. Garbovskis','Alvydas Biliûnas','Duþenos stiklo plastiko surinktos, iðveþtos iðsiliejàs tepalas neutralizuotas sunaudota (10kg) sauso  sorbento Tarp gatvës ir þalios vejos iðlauþta (2 dvi) sekcijos metalinio atitvaro.','','2017-01-24','13:50'
17,'2017-01-24','12:30','Vaduvos 34-38','Griaunevièius','Suduþo termometras.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-01-24','15:10'
18,'2017-01-24','12:35','Geniø 24','Saulius','Þaliojoje vejoje sulauþytas G/B ðulinio dangtis.','','Alvydas Biliûnas','Uþdengtas nauju G/B dangèiu.','','2017-01-24','16:30'
19,'2017-01-24','12:35','Geleþinio vilko sankr.','BPC','Negyvas ðuo vaþiuojamoje dalyje.','BGKT tel.2736188','Alvydas Biliûnas','Ánformacijà perduota.','','2017-01-24','12:38'
20,'2017-01-24','14:10','Kazlausko J. 33','BPC','Kelkraðtyje negyva stirna.','BGKT tel.2736188','Alvydas Biliûnas','Ánformacijà perduota.','','2017-01-24','14:15'
21,'2017-01-24','14:25','Minsko pl. 6','El. paðtas O. Lapinskienë','Duobës vaþ. dalyje.','','Alvydas Biliûnas','Uþpiltos smëlio skaldos miðiniu (0,2m3)','','2017-01-24','16:05'
22,'2017-01-24','15:00','Liepkalnio 172','112','Vaþiuojamoje dalyje duobës','','Alvydas Biliûnas','Uþpiltos skaldos smëlio miðiniu (0,2m3)','','2017-01-24','15:58'
23,'2017-01-24','15:20','Eiðiðkiø pl. St" Hidrologijos"','vaþiuojant pastebëta','Statybinës ðiukðlës prie stotelës.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-01-24','15:30'
24,'2017-01-24','15:30','Mechanikø 2','','Patikrinta: Darbai atlikti.','','Alvydas Biliûnas','Laikinas þenklas paimtas, iðveþtas.','','2017-01-24','15:35'
25,'2017-01-24','15:40','Rugiø 10','El. paðtas D. Niuklys','Prasëdæs  ðulinys vaþiuojamoje dalyje.','LN tarnyba R. Zabarovskis.','Alvydas Biliûnas','Prasëdæs LN ðulinys.Pastatyti þenklo negalima nes trukdo eismiui.','','2017-01-24','17:50'
26,'2017-01-24','15:40','Braðkiø 44','El. paðtas D. Niuklys','Vaþiuojamoje dalyje juda ðulinio dangtis su korpusu.','LN tarnyba R. Zabarovskis','Alvydas Biliûnas','Nustatyta, kad juda LN ðulinio dangtis su korpusu  vaþiuojamoje dalyje (Pastatyta vertikali gairë)','','2017-01-24','18:10'
27,'2017-01-24','15:42','Salininkø 109','vaþiuojant pastebëta','Medþio ðaka ant vaþ. dalies.','','Alvydas Biliûnas','Patraukta á kelkraðtá ant þalios vejos.','','2017-01-24','15:45'
28,'2017-01-24','15:50','Pramonës Linksmoji','El. paðtas A. Visockas','Vaþiuojamoje dalyje duobës.','','Alvydas Biliûnas','Uþpiltos smëlio skaldos miðiniu (0,2m3)','','2017-01-24','16:55'
29,'2017-01-24','15:55','Þukausko Þygio 88','El. paðtas A. Visockas','Uþsikiðæs LN ðulinys.','El. paðtas A. Visockas.','Alvydas Biliûnas','Nuvykus á vieta  ir pravaþiavus nuo Þukausko iki Þygio g.88 uþsikimðusio ðulinio nerasta.Buvo pastebëta vaþ. dalyje , kad iðkilæs dangtis ðulinio korpusas iðvalytas dangtis ástatytas á vieta.','','2017-01-24','17:05'
30,'2017-01-24','16:15','Dunojaus 20','vaþiuojant opastebëta.','Medienos atraiþos vaþ. dalyje.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-01-24','16:22'
31,'2017-01-24','16:25','Ðiaurës 37A','','Vaþiuojamoje dalyje duobës','','Alvydas Biliûnas','Uþpiltos smëlio skaldos miðiniu (0,2m3)','','2017-01-24','17:15'
32,'2017-01-24','16:40','Liepkalnio 200F','BPC','Avarinë duobë vaþiuojamoje dalyje.','El. paðtas I. Rinkevièius.','Alvydas Biliûnas','Laikinai uþpilta  (0,3m3) Vaþiuojant nuo Rudominos link Salininkø þiedo  kur yra Fûrø aikðtelë.','','2017-01-24','17:50'
33,'2017-01-24','17:20','Verkiø 35','pastebëta vaþiuojant.','Skardos gabalas vaþ. dalyje.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-01-24','17:25'
34,'2017-01-24','17:30','Kalvarijø Þvalgø sankr.','vaþiuojant pastebëta.','Duþenos stiklo vaþ. dalyje.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-01-24','17:35'
35,'2017-01-24','17:35','Þirmûnø 2','El. paðtas D. Baltruðaitienë','vaþiuojamoje dalyje duobë.','','Alvydas Biliûnas','Uþpilta frezuotu (0,05m3)','','2017-01-24','19:22'
36,'2017-01-24','17:40','Geleþinio vilko Link Baltupiø.','Gamtos apsauga','Nedavaþiavus Kazlausko g-vës negyva stirna kelkraðtyje.','','Alvydas Biliûnas','Paimta nuveþta á BGKT.','','2017-01-24','20:22'
37,'2017-01-24','18:10','Mokslininkø 4','vaþiuojant pastebëta','Duþenos  vaþ. dalyje.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-01-24','18:34'
38,'2017-01-24','18:15','Mileiðiðkiø','BPC','Negyva stirna ðaligatvyje.','','Alvydas Biliûnas','Nuvykus á vieta negyvos stirnos nerasta.','','2017-01-24','19:50'
39,'2017-01-24','18:20','Galvës','Policija','Vaþiuojant nuo "EMSI degalinës link áA4  kelia duobë.','','Alvydas Biliûnas','Uþpilta skaldos smëlio miðiniu (0,1m3)','','2017-01-24','19:05'
40,'2017-01-24','19:25','Antakalnio 97','vaþiuojant pastebëta.','Sulauþytos plokðtës gabalai vaþ. dalyje.','','Alvydas Biliûnas','Surinkti, iðveþti.','','2017-01-24','19:35'
41,'2017-01-24','19:38','Geleþinio vilko','vaþiuojant pastebëta.','Pravaþiavus tunelá padanga.','','Alvydas Biliûnas','Paimta, iðveþta.','','2017-01-24','19:42'
42,'2017-01-24','19:45','Geleþinio vilko Gerosios vilties','pastebëta vaþiuojant.','Kartoninë dëþë ðaligatvyje.','','Alvydas Biliûnas','Paimta, iðveþta.','','2017-01-24','19:48'
43,'2017-01-24','20:45','Markuèiø Prie Audëjo pastato','E. Garbovskis','Paimti nulauþta kelio þenkla. prie pastato Audëjas.','E. Garbovskis el. paðtas.','Alvydas Biliûnas','Paimtas, iðveþtas á UAB"Grinda" Þenklas skirentis kelio eismo juostas.','','2017-01-24','21:15'
44,'2017-01-24','20:45','Paðilaièiø 2','BPC','Vaþiuojamoje dalyje 1-moje juostoje nusëdæs asfaltas formuojasi ágriuva.','El paðtas "Kerista"','Alvydas Biliûnas','Prasëdimas ties WW Centu  ið J. BaBaltruðaièio gatvës kitoj pusëj yra elektros transformatorinë. Laikinai uþpilta frezuotu. Pastatyta vertikali gairë.','','2017-01-24','21:32'
45,'2017-01-24','22:20','Santariðkiø','BPC','Vaþiuojant link Þ. eþerø kelkraðtyje negyva stirrna.','','Alvydas Biliûnas','Paimta stirna negyva  nuveþta á BGKT. L. Giros g-vë.','','2017-01-24','23:20'
