'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2017-04-09','08:45','Gudø 5','Áraðas 2017.03.28','Patikrinti ar atlikti darbai','','Vytautas Andruðkevièius','Kiti darbai. Darbai pradëti, vertikalià gairæ palikome.','','2017-04-09','09:05'
2,'2017-04-09','08:50','Sapiegos sankr.','Áraðas 2017.04.01','Patikrinti ar atlikti darbai','','Vytautas Andruðkevièius','Kiti darbai. Darbai atlikti. Laikinus þenklus paëmëme. ','','2017-04-09','09:15'
3,'2017-04-09','09:00','Ðeimyniðkiø 3','Pastebëta vaþiuojant ','Vaþ.  dalyje rato gaubtas','','Vytautas Andruðkevièius','Kliûtys. Paimtas, iðveþtas.','','2017-04-09','09:05'
4,'2017-04-09','09:05','Ðviesos  Grigiðkës 9','Áraðas 2017.03.24','Patikrinti ar atlikti darbai','','Vytautas Andruðkevièius','Kiti darbai. Darbai atlikti, tvorelæ paëmëme. ','','2017-04-09','09:25'
5,'2017-04-09','09:15','Klinikø 11','Áraðas 2017.03.28 ','Patikrinti ar atlikti darbai','','Vytautas Andruðkevièius','Kiti darbai. Darbai atlikti, vertikalià gairæ paëmëme ','','2017-04-09','09:25'
6,'2017-04-09','09:30','Ðviesos  Grigiðkës 2','Pastebëta vaþiuojant','Automobiliø stovëjimo aikðtelëje kuro dëmë','','Vytautas Andruðkevièius','Absorbentai. Sunaudojus 3ltr. skyso sorbento kuras neutralizuotas','','2017-04-09','09:45'
7,'2017-04-09','09:45','Minties 1','Pastebëta vaþiuojant','Vaþ.  dalyje uþneðtas trapas','','Vytautas Andruðkevièius','Kiti darbai. Ið LN trapo groteliø iðvalytos sànaðos, iðveþtos.','','2017-04-09','09:50'
8,'2017-04-09','09:50','Gariûnø ant tilto link Oslo g.','Pastebëta vaþiuojant','Bamperio nuolauþa vaþ. dalyje','','Vytautas Andruðkevièius','Kliûtys. Paimta, iðveþta. ','','2017-04-09','09:55'
9,'2017-04-09','09:50','Minties 48','Áraðas 2017.04.05','Patikrinti ar vykdomi darbai','','Vytautas Andruðkevièius','Kiti darbai. Darbai9 nepradëti, tvorelæ palikome. ','','2017-04-09','09:55'
10,'2017-04-09','09:55','Oslo 12 link Savanoriø pr.','Pastebëta vaþiuojant','Automobilio padanga ðalikelëje','','Vytautas Andruðkevièius','Padangos. Paimta,  iðveþta.','','2017-04-09','10:00'
11,'2017-04-09','09:55','Rinktinës 40A','Áraðas 2017.04.09','Patikrinti ar vykdomi darbai','','Vytautas Andruðkevièius','Kiti darbai. Darbai nepradëti, vertikali agirë vietoje. ','','2017-04-09','10:10'
12,'2017-04-09','10:22','Þvejø 2','Pastebëta vaþiuojant','Vaþ. dalyje akmuo','','Vytautas Andruðkevièius','Kliûtys. Paimtas, iðveþtas','','2017-04-09','10:25'
13,'2017-04-09','11:10','Vilniaus gatvës statybvietë','G.K. Niaura','Nuvirtæ statybvietës aptvërimai','','Vytautas Andruðkevièius','Kiti darbai. Atitvarai manome ið pat pradþiø buvo neteisingai sustatyti - paliktas siauras praëjimas pëstiesiems, o á statybvietës pusæ,kad nevirstø matomai statytos atramos. Aptvërimus reiktø pilnai iðmontuoti ir jais vël aptverti statybvietæ.  ','','2017-04-09','11:40'
14,'2017-04-09','13:20','Laisvës  pr. ties Architektø g.85-uoju','Pastebëta vaþiuojant','Vaþ.  dalyje medþiø ðakos ir rato gaubtas','','Vytautas Andruðkevièius','Medþiai, ðakos. Ðakos surinktos, sukrautos prie prie kitø á krûvà ðalikelëje. Gaubtas,  paimtas iðveþtas. ','','2017-04-09','13:30'
15,'2017-04-09','13:25','Geleþinio vilko ties Konarskio g. 34-uoju ','Pastebëta vaþiuojant','Vaþ.  dalyje skudurai','','Vytautas Andruðkevièius','Kiti darbai. Tepaluoti skudurai surinkti, iðveþti.','','2017-04-09','13:30'
16,'2017-04-09','13:33','Ðimulionio I. 10','Pastebëta vaþiuojant','Uþneðti ðiukðlëmis du trapai','','Vytautas Andruðkevièius','Kiti darbai. Ið LN trapø groteliø iðvalytos sànaðos, iðveþtos.','','2017-04-09','13:42'
