'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2018-07-03','00:05','Kirtimø (link centro)','VPK','Autoávykis','Áraðas LN tarnybai, R.Zabarovskis','Darijuð Ceiko','5.2 Vieta po autoávykio sutvarkyta. Gatvëje didelë bala, pastatytos dvi vertikalios gairës','','',''
2,'2018-07-03','01:10','Antakalnio 50','BPC','Atviras ðulinys vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','7.4 Ðulinys uþdengtas tuo paèiu dangèiu.','','2018-07-03','01:30'
3,'2018-07-03','03:40','Gedimino pr.','VMSA','Transporto eismo atidarymas','','Darijuð Ceiko','Transporto eismas atidarytas','','2018-07-03','04:10'
4,'2018-07-03','06:00','Kirtimø (link centro, po tiltu)','VPK','Papildomais árengti þenklus prie balos','Áraðas LN tarnybai, R.Zabarovskis','Darijuð Ceiko','Pastatyta tvorelë su kliûties apvaþiavimo kryptimi','','',''
5,'2018-07-03','07:30','Eiðiðkiø pl. 52','BPC','Daug smëlio vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','Labai intensyvus eismas, nëra galimybës nuðlot smëlio','','2018-07-03','08:00'
6,'2018-07-03','08:15','Þirmûnø 151','V. Lukaièius','Atviras trapas ávaþiavime','','Darijuð Ceiko','7.5 LN trapas. Uþdengtas naujomis metalinëmis grotelëmis. (56x38cm.)','Grotelës ðulinëliø LN vandens surinkimo  sav. (1 VNT)','2018-07-03','08:50'
7,'2018-07-03','08:15','Kaminkelio 10 [2018.06.29 áraðas]','','Smegduobë ðaligatvyje virð LN tinklø.','','Darijuð Ceiko','12.2 Laikinøjø þenklø patikrinimas. Remonto darbai atlikti.','','2018-07-03','08:20'
8,'2018-07-03','09:00','Vaidilutës','','Vaidilutës g.  prie stotelës " 1-asis paplûdimys " vieðasis transportas kabina medþio ðakas.','UAB „STEBULË“ [e-paðtas]','Darijuð Ceiko','12.1 Informacija perduota ','','',''
9,'2018-07-03','09:35','Tilto 16 [2018.06.13 áraðas]','','Ðaligatvio dangos smegimas','','Darijuð Ceiko','12.2 Laikinøjø þenklø patikrinimas. Remonto darbai atlikti.','','2018-07-03','09:40'
10,'2018-07-03','09:50','Maciulevièiaus  24','VPK','Ant vaþiuojamosios gatvës dalies kieme iðlieti degalai','','Darijuð Ceiko','Degalai neutralizuoti, panaudojant skystà sorbentà (2 ltr)','Naftos ploviklis  (2 LTR)','2018-07-03','10:15'
11,'2018-07-03','10:05','Nemenèinës pl. / Svajoniø g.','Tvarkau Vilniø','Duobë vaþiuojamoje gatvës dalyje, reikalingas remontas','UAB „UAB YIT Infra Lietuva" [e-paðtas]','Darijuð Ceiko','12.1 Informacija perduota ','','',''
12,'2018-07-03','10:25','Poðkos D. 48 [2018.06.21 áraðas]','','Ágriuva vaþiuojamoje gatvës dalyje prie FN ðulinio.','','Darijuð Ceiko','12.2 Laikinøjø þenklø patikrinimas. Remonto darbai atlikti.','','2018-07-03','10:30'
13,'2018-07-03','10:40','Þolyno 45A','','Ávaþiavime á darþelá ágriuva','VV avarinë 861611256','Darijuð Ceiko','Ávaþiavime á darþelá ágriuva prie FK tinklø. Pastatyta vertikali gairë','','',''
14,'2018-07-03','10:45','Pylimëliø 21','BPC','Duobë vaþiuojamoje gatvës dalyje','SB "Dailë" gintas.antakalnis@gmail.com','Darijuð Ceiko','Duobë vaþiuojamoje gatvës dalyje prie FK ðulinio uþpilta frezuotu asfaltu (0,2 m³)','Alsfalbetinis frezuotas (.2 M3)','',''
15,'2018-07-03','11:10','Þirgo 28','Þivilë','Paimti termometrà','','Darijuð Ceiko','1.1 Paimtas 1 (vienas) buitinis termometras su gyvsidabriu ir perduotas utilizavimui;','','2018-07-03','12:10'
16,'2018-07-03','11:40','Þaliøjø eþerø / Popierius g. ','BPC','Numuðtas kelio þenklas','UAB "Biseris" 861545000','Darijuð Ceiko','12.1 Informacija perduota ','','',''
17,'2018-07-03','12:00','Vytenio 53','BPC','Atviras trapas prie namo','','Darijuð Ceiko','7.5 LN trapas. Uþdengtas naujomis plastmasinëmis grotelëmis. (50x38cm.)','Grotelës kompozitinës 380*500 (1 VNT)','2018-07-03','12:30'
18,'2018-07-03','12:00','Asanavièiûtës L. 5A','','Ávaþiavime á kiemà smegduobë','Áraðas LN tarnybai, R.Zabarovskis','Darijuð Ceiko','Ávaþiavime á kiemà smegduobë prie LN ðulinio. Pastatyta tvorelë','','',''
19,'2018-07-03','12:30','Kubiliaus 16 [2018.06.29 áraðas]','','gatvës vaþiuojamojoje dalyje formuojasi ágriuva virð VV vandentiekio tinklø','','Darijuð Ceiko','12.2 Laikinøjø þenklø patikrinimas. Remonto darbai neatlikti.','','2018-07-03','12:35'
20,'2018-07-03','13:10','Savanoriø 137','VV avarinë','Nestabilus LN ðulinys þaliosios vejos zonoje','Áraðas LN tarnybai, V. Jackevièius','Darijuð Ceiko','12.1 Informacija perduota ','','',''
21,'2018-07-03','13:35','Ðeðuoliø','BPC','Stiklo duþenos vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','Stiklo duþenø nerasta','','2018-07-03','13:55'
22,'2018-07-03','14:50','Ðirvio  P.','Ðimonienë','Negyvas ðuo skvere','','Darijuð Ceiko','2.2 Gyvûno gaiðena nerasta.','','2018-07-03','15:40'
23,'2018-07-03','15:15','Mindaugo 11','','Paimti termometrà','','Darijuð Ceiko','1.1 Paimtas 1 (vienas) buitinis termometras su gyvsidabriu ir perduotas utilizavimui;','','2018-07-03','16:05'
24,'2018-07-03','15:40','Strazdelio A. / Daukðos g. ','BPC','Ðiukðliø konteineris vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','Ðiukðliø konteineris stovi ðaligatvyje. Netrukdo.','','2018-07-03','16:15'
25,'2018-07-03','16:15','Sodø 4 [2018.04.13 áraðas]','','Pavojingai atsivërusi ertmë.','','Darijuð Ceiko','12.2 Laikinøjø þenklø patikrinimas. Remonto darbai atlikti.','','2018-07-03','16:20'
26,'2018-07-03','18:05','Þygimantø krantinës','MS','Nuo krantiniø paimti ir iðveþti stulpus.','','Darijuð Ceiko','Nurodytu adresu krantinëse metaliniø stulpø neaptikta.','','2018-07-03','19:45'
27,'2018-07-03','18:40','Gedimino pr.','VMSA','Transporto eismo apribojimas','','Darijuð Ceiko','Transporto eismas apribotas','','2018-07-03','19:20'
28,'2018-07-03','18:55','Justiniðkiø 64','privatus','Vaþ. dalyje, prie pësèiøjø perëjos, kaèiuko gaiðena.','','Darijuð Ceiko','2.1 Gyvûno gaiðena perduota Vilniaus benamiø gyvûnø sanitarinei tarnybai (VBGST);','Pirðtinës vienkartinës (2 VNT), Ðiukðliø maiðai (1 VNT)','2018-07-03','20:05'
29,'2018-07-03','19:55','Mindaugo sankrþ.','privatus','Ant ðaligatvio nuvirtæs medis.','info@stebule.lt','Darijuð Ceiko','6.1 Medis supjaustytas, patrauktas á kelkraðtá ir paruoðtas iðveþimui, vieta iðvalyta. Informacija perduota.','','2018-07-03','20:20'
30,'2018-07-03','22:30','Titnago sankrþ.','privatus','Vaþ. dalyje nuvirtæs medis.','info@stebule.lt','Darijuð Ceiko','6.1 Medis supjaustytas, patrauktas á kelkraðtá ir paruoðtas iðveþimui, vieta iðvalyta. Informacija perduota.','','2018-07-03','23:20'
