'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2017-03-28','07:25','Batoro atkarpoje tarp Liepto  g. ir geleþinkelio viaduko','BPC ','Vaþ. dalyje nuvirtæs medis','','Vytautas Andruðkevièius','Supjautas, iðveþtas. Vaþ. dalis laisva.','','2017-03-28','08:30'
2,'2017-03-28','08:30','Þilvièiø link Versmiø','Áraðas 2017.03.216','Patikrinti ar vykdomi darbai','','Vytautas Andruðkevièius','Darbai nepradëti. VV disp. Aurimas tel. 861611256 uþklausus informavo, kad rangovas ásipareigojo garantinius darbus atlikti iki 2017.04.01 ','','2017-03-28','08:55'
3,'2017-03-28','08:50','Viðinskio P. 23, ðlaitë link Drujos g.','Semaðko','Atviras LN ðulinys','','Vytautas Andruðkevièius','LN ðulinys uþdengtas nauju gb. dangèiu.','','2017-03-28','09:55'
4,'2017-03-28','08:55','Dzûkø 20','Áraðas 2017.03.11','Patikrinti ar atlikti darbai','','Vytautas Andruðkevièius','Darbai atlikti, vertikalià gairæ paëmëme. ','','2017-03-28','09:15'
5,'2017-03-28','09:30','Geleþinio vilko 6A','J. Repðienë','Uþtaisyti duobes automobiliø stovëjimo aikðtelëje','El.paðtu I. Rinkevièiui','Vytautas Andruðkevièius','Skaldos  ir smëlio miðiniu laikinai uþtaisyta  devynios avarinës (0,7x0,3x0,1); (1,2x0,5x0,06); ((0,9x0,6x0,05); (2,5x0,3x0,0,08); (1,3x0,06x0,07); (1,8x0,5x0,05); (0,7x0,5x0,05); ((1,8x0,5x0,08); (0,8x0,5x0,06) duobës. Sunaudota po 0,35m3. Info perduota','','2017-03-28','10:25'
6,'2017-03-28','09:50','Klinikø 11','Þilvinas','Vaþ . dalyje ádribæs ðulinys ','VV disp . Aurimui','Vytautas Andruðkevièius','Vaþ. dalyje nusëdæs VV hidranto ðulinys. Pastatyta vertikali gairë. Info perduta','','2017-03-28','10:30'
7,'2017-03-28','10:05','Olandø filaretø g. prieigose','Pastebëta vaþiuojant','Autoávykis - vaþ. dalyje ðukës,tepalai ','','Vytautas Andruðkevièius','Sunaudojus 10kg.sauso sorbento tepalai ir ðukës surinkta.','','2017-03-28','10:20'
8,'2017-03-28','10:30','Kryþiokø sodø 9-oji g ties 65-uoju namu','D. Pakalniðkytë','Smegduobë prie ðulinio','','Vytautas Andruðkevièius','Á smegduobæ prie vandentiekio ðulinio buvo pripilta skaldos, sulyginta su gatve. Vandentiekio ðulinys nepriklauso UAB "Vilniaus vandenys" tai telefonu patvirtino disp. Aurimas.   ','','2017-03-28','11:00'
9,'2017-03-28','11:25','Fabijoniðkiø 1','Pastebëta vaþiuojant ','Vaþ. dalyje stiklo ðukës','','Vytautas Andruðkevièius','Surinkltos , iðveþtos','','2017-03-28','11:30'
10,'2017-03-28','13:15','Pilaitës pr. ties VSD pastatu','Danius','Dviraèiø take ðukës','','Vytautas Andruðkevièius','Surinktos , iðveþtos','','2017-03-28','13:40'
11,'2017-03-28','13:45','Mënulio 11','','Pristatë rastà automobilio Nr','','Vytautas Andruðkevièius','Pilaitës pr. rastà automobilio valst. NR. HHE  490 pristatë á policijà - budinèiajam.','','2017-03-28','13:50'
12,'2017-03-28','14:00','Pietario V. 8','Pastebëta vaþiuojant','Vaþ. dalyje buferio nuolauþa','','Vytautas Andruðkevièius','Paimta,  iðveþta','','2017-03-28','14:03'
13,'2017-03-28','14:15','Ateities sankr.','Stanislovas','Vaþ. dalies 1-oje eismo juostoje þvyras iðbarstytas','','Vytautas Andruðkevièius','Þvyras ið vaþ. dalies surinktas, iðveþtas','','2017-03-28','15:00'
14,'2017-03-28','14:20','Kalvarijø sankr.','Pastebëta vaþiuojant ','Vaþ. dalyje automobilio stiklo ðukës ','','Vytautas Andruðkevièius','Surinktos , iðveþtos','','2017-03-28','14:28'
15,'2017-03-28','14:35','Kalvarijø 300','Pastebëta vaþiuojant','Vaþ. dalyje sulauþytas plastiko bakelis ','','Vytautas Andruðkevièius','Paimtas, iðveþtas','','2017-03-28','14:37'
