Eil. Nr.,Data,Laikas,Avarinė vietos adresas, Pranešėjas,Avarinės vietos aprašymas (kas įvyko),Avarinės tarnybos atlikti darbai,Atžyma apie darbų pabaigą. Data,Atžyma apie darbų pabaigą. Laikas.
1,2016/03/12,07:05,Pramonės g. 26,VPK,Statybinės šiukšlės važiuojamoje gatvės dalyje.,Šiukšlės surinktos ir išvežtos. Gatvė išvalyta.,2016/03/12,07:39
2,2016/03/12,07:44,Pramonės g. 8,,Ant šsligatvio pastebėta lengvojo automobilio padanga.,Padanga paimta ir išvežta.,2016/03/12,07:49
3,2016/03/12,07:54,Savanorių pr. 174,VPK,Autoįvykis. Duženos važiuojamoje gatvės dalyje.,Duženos surinktos ir išvežtos. Gatvė išvalyta.,2016/03/12,08:22
4,2016/03/12,08:26,Mindaugo g. 42A,BPC,Atviras šulinys žalioje vejoje.,LN šulinys. Uždengtas tuo pačiu dangčiu.,2016/03/12,08:53
5,2016/03/12,08:55,Gilužio g. 15,BPC,Atviras LN trapas važiuojamoje gatvės dalyje.,LN trapas. Uždengtas tomis pačiomis grotelėmis.,2016/03/12,09:20
6,2016/03/12,09:17,Žirmūnų g. 57,BPC,Negyvas šuo prie laiptinės.,Pliušinis žaislas. Išmestas į šiukšlių konteinerį.,2016/03/12,09:35
7,2016/03/12,09:31,Ozo g. 25,,Bamperio nuolaužos važiuojamoje gatvės dalyje.,Nuolaužos surinktos ir išvežtos. Gatvė išvalyta.,2016/03/12,09:55
8,2016/03/12,10:16,Plytinės g. 29,VPK,Sudaužytas autobusų st. paviljonas. ,"Paviljonas korpusas išjudintas. Aptverėm STOP juosta, pastatytos 2 tvorelė. Stiklo duženos ir nulaužos surinktos ir išvežtos. Gatvė išvalyta. Informacija.",,
9,2016/03/12,10:47,"Kalvarijų g. 
(Prie parduotuvės ,,LIDL"")",Policijos ekipažas,Bilda šulinio dangtis.,"LN šulinys. Korpusas išvalytas nuo smėlio. Dangtis korpuse laikosi tvirtai, nejuda.",2016/03/12,11:11
10,2016/03/12,11:17,Kauno g. 3,BPC,Sulenktas kelio ženklas.,Ženklas ištiesintas.,2016/03/12,11:42
11,2016/03/12,11:47,"Molėtų pl. (Prie parduotuvės ,,Link Molėtų"")",VPK,Sužeista stirna kelkraštyje.,Nurodytu adresu stirnos nepastebėta.,2016/03/12,12:20
12,2016/03/12,12:15,Paukščių tako g. 15,Šermukšnis,Įgriuva prie šulinio važiuojamoje gatvės dalyje.,VV šulinys. Atvykus jau buvo pastatyta VV raudona tvorelė.,2016/03/12,12:41
13,2016/03/12,12:24,Eišiškių pl. 19,Gaisrininkai ,Stiklainis su gyvsidabriu.,Stiklainis su gyvsidabriu  paimtas.,2016/03/12,12:51
14,2016/03/12,12:57,Liepkalnio g. 101,VPK,Autoįvykis. Duženos važiuojamoje gatvės dalyje.,Duženos surinktos ir išvežtos. Gatvė išvalyta.,2016/03/12,13:25
15,2016/03/12,13:22,Pergalės g. 7,Stanislav,Įgriuvęs LN trapo korpusas važiuojamoje gatvės dalyje.,Pastatytos 2 vertikalios gairės. Įrašas žurnale.,,
16,2016/03/12,13:29,Sietyno g. 8,Policijos ekipažas,Atviras šulinys žalioje vejoje.,VV šulinys. Uždengtas tuo pačiu dangčiu.,2016/03/12,13:54
17,2016/03/12,13:49,Žarijų g. 2C,BPC,Lengvojo automobilio padanga važiuojamoje gatvės dalyje.,Padanga paimta ir išvežta.,2016/03/12,14:14
18,2016/03/12,14:17,Kirtimų g. 49A,VPK,Kliūtis važiuojamoje gatvės dalyje.,Krovininio automobilio posparnis paimtas ir išvežtas.,2016/03/12,14:52
19,2016/03/12,14:47,Meistrų g. (Gatvės pradžioje),,Sužeistas katinas kelkraštyje.,Nurodytu adresu katino nepastebėta.,2016/03/12,15:10
